Location,Density,Sal,Replicate,Hatch_date,Julian_hatch,Start_Date,Julian_start,Date_MM,Julian_MM,MM_tail,MM_total,Mass_MM,Final_length,Final_mass,Final_date,Julian_final,Time_MM,Dead,Dead_date,,,,,,,
Inland,4,4,5,7/6/17,42922,7/10/17,42926,9/11/17,42989,25.18,42.05,0.534,17.5,0.343,9/14/17,42992,70,1,,,,,,,,
Inland,4,4,5,7/6/17,42922,7/10/17,42926,9/13/17,42991,30.05,45.88,0.672,16.92,0.374,9/17/17,42995,73,1,,,,,,,,
Inland,4,4,6,7/6/17,42922,7/10/17,42926,8/20/17,42967,29.83,47.09,0.597,18.12,0.36,8/23/17,42970,48,1,,,,,,,,
Inland,4,4,6,7/6/17,42922,7/10/17,42926,8/24/17,42971,25.92,41.17,0.457,16.64,0.311,8/27/17,42974,52,1,,,,,,,,
Inland,4,4,6,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,4,4,6,7/6/17,42922,7/10/17,42926,9/15/17,42993,29.61,48.93,0.876,19.21,0.626,9/18/17,42996,74,1,,,,,,,,
Coastal,8,0,1,7/5/17,42921,7/10/17,42926,9/10/17,42988,28.53,45.58,0.531,16.32,0.322,9/14/17,42992,71,1,,,,,,,,
Coastal,8,0,1,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Coastal,8,0,1,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Coastal,8,0,1,7/5/17,42921,7/10/17,42926,9/13/17,42991,27.39,41.26,0.549,16.15,0.321,9/17/17,42995,74,1,,,,,,,,
Coastal,8,0,1,7/5/17,42921,7/10/17,42926,9/16/17,42994,27.77,43.66,0.472,16.4,0.298,9/19/17,42997,76,1,,,,,,,,
Coastal,8,0,1,7/5/17,42921,7/10/17,42926,9/17/17,42995,23.9,39.45,0.412,15.5,0.251,9/20/17,42998,77,1,,,,,,,,
Coastal,8,0,1,7/5/17,42921,7/10/17,42926,9/17/17,42995,21.95,39.69,0.562,16.26,0.352,9/20/17,42998,77,1,,,,,,,,
Coastal,8,0,1,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Coastal,8,0,2,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Coastal,8,0,2,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Coastal,8,0,2,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Coastal,8,0,2,7/5/17,42921,7/10/17,42926,9/8/17,42986,24.66,40.6,0.543,16.71,0.26,9/11/17,42989,68,1,,,,,,,,
Coastal,8,0,2,7/5/17,42921,7/10/17,42926,9/12/17,42990,22.89,39.02,0.488,17.79,0.314,9/16/17,42994,73,1,,,,,,,,
Coastal,8,0,2,7/5/17,42921,7/10/17,42926,9/16/17,42994,28.72,43.28,0.591,16.96,0.366,9/20/17,42998,77,1,,,,,,,,
Coastal,8,0,2,7/5/17,42921,7/10/17,42926,9/18/17,42996,32.75,51.54,0.763,18.4,0.456,9/22/17,43000,79,1,,,,,,,,
Coastal,8,0,2,7/5/17,42921,7/10/17,42926,9/27/17,43005,32.6,48.57,0.662,17.65,0.425,9/30/17,43008,87,1,,,,,,,,
Coastal,8,0,3,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Coastal,8,0,3,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Coastal,8,0,3,7/5/17,42921,7/10/17,42926,9/7/17,42985,29.21,45.01,0.697,17.53,0.38,9/11/17,42989,68,1,,,,,,,,
Coastal,8,0,3,7/5/17,42921,7/10/17,42926,9/10/17,42988,28.18,43.91,0.511,14.94,0.294,9/14/17,42992,71,1,,,,,,,,
Coastal,8,0,3,7/5/17,42921,7/10/17,42926,9/15/17,42993,20.21,35.11,0.342,15.01,0.239,9/17/17,42995,74,1,,,,,,,,
Coastal,8,0,3,7/5/17,42921,7/10/17,42926,9/16/17,42994,27.89,45.29,0.576,16.7,0.343,9/19/17,42997,76,1,,,,,,,,
Coastal,8,0,3,7/5/17,42921,7/10/17,42926,9/21/17,42999,32.08,49.81,0.764,17.61,0.452,9/25/17,43003,82,1,,,,,,,,
Coastal,8,0,3,7/5/17,42921,7/10/17,42926,9/25/17,43003,26.55,41.68,0.629,18.74,0.427,9/28/17,43006,85,1,,,,,,,,
Coastal,8,0,4,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Coastal,8,0,4,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Coastal,8,0,4,7/5/17,42921,7/10/17,42926,9/11/17,42989,27.2,43.28,0.535,17.44,0.34,9/14/17,42992,71,1,,,,,,,,
Coastal,8,0,4,7/5/17,42921,7/10/17,42926,9/13/17,42991,27.95,40.82,0.469,16.03,0.295,9/17/17,42995,74,1,,,,,,,,
Coastal,8,0,4,7/5/17,42921,7/10/17,42926,9/13/17,42991,27.86,43.93,0.515,16.03,0.325,9/17/17,42995,74,1,,,,,,,,
Coastal,8,0,4,7/5/17,42921,7/10/17,42926,9/16/17,42994,25.78,42.47,0.472,15.3,0.273,9/20/17,42998,77,1,,,,,,,,
Coastal,8,0,4,7/5/17,42921,7/10/17,42926,9/21/17,42999,29.54,44.94,0.668,17.61,0.438,9/25/17,43003,82,1,,,,,,,,
Coastal,8,0,4,7/5/17,42921,7/10/17,42926,9/25/17,43003,30.76,47.06,0.675,17.9,0.43,9/29/17,43007,86,1,,,,,,,,
Coastal,8,0,5,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,,,??,,,,,
Coastal,8,0,5,7/5/17,42921,7/10/17,42926,9/4/17,42982,25.03,40.52,0.52,15.72,0.296,9/8/17,42986,65,1,,,,,,,,
